poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI3112279,308512.1307,5051618.663,309,,51690000,17410000,16290000,67320000,44990000,0,23571,23541,23499,813211,48839
POI4962795,310280.2884,5051525.61,309,,64110000,0,0,0,0,0,52421,0,0,0,0
POI4966049,310144.1721,5046564.378,309,J4B 7K2,58120000,0,0,0,0,0,72231,0,0,0,0
POI4966162,310348.0342,5047875.977,309,J4B 7G4,52110000,0,0,0,0,0,0,0,0,0,0
POI3355147,310794.0327,5047378.961,309,J4B 5H2,24340000,0,0,0,0,0,0,0,0,0,0
POI3355272,309331.9924,5047061.007,309,J4B 6G6,39930000,0,0,0,0,0,33995,0,0,0,0
POI3355460,310272.0372,5050792.018,309,J4B 5E4,82990000,87480000,0,0,0,0,61171,0,0,0,0
POI3355010,310997.0385,5050242.033,309,J4B 8V2,52110000,73890000,0,0,0,0,44411,54141,0,0,0
POI1219724,310560.9655,5046682.947,309,J4B 6Z6,39930000,0,0,0,0,0,33995,333313,0,0,0
POI4363359,309071.0284,5047635.042,309,J4B 7A2,58120000,0,0,0,0,0,72211,0,0,0,0
POI1223180,308541.2821,5047540.948,309,J4N 1B8,50510000,17610000,17110000,0,0,0,42151,23561,23511,0,0
POI4963949,309818.0075,5046575.955,309,J4B 7M4,16290000,0,0,0,0,0,0,0,0,0,0
POI1219918,309212.0144,5047166.052,309,J4B 6G6,42310000,0,0,0,0,0,48849,0,0,0,0
POI1219962,311011.8734,5047195.019,309,J4B 7M1,35990000,0,0,0,0,0,33271,0,0,0,0
POI1219400,312624.9628,5047701.041,309,J4B 5Y1,30890000,0,0,0,0,0,326199,0,0,0,0
POI1219965,311011.8736,5047195.017,309,J4B 7M1,50210000,0,0,0,0,0,0,0,0,0,0
POI1219504,308945.5257,5048475.612,309,J4B 6G4,58120000,0,0,0,0,0,72211,0,0,0,0
POI4139281,309414.0136,5048045.028,309,J4B 7M6,79960000,79990000,0,0,0,0,71311,71399,0,0,0
POI4963775,309051.5029,5047951.154,309,J4B 5L2,59990000,0,0,0,0,0,45391,0,0,0,0
POI1218977,309521.9991,5050472.012,309,J4B 1Z6,83610000,0,0,0,0,0,0,0,0,0,0
POI1219177,309972.0008,5050493.039,309,J4B 5E4,59410000,76990000,0,0,0,0,0,0,0,0,0
POI1218817,308307.9804,5048852.018,309,J4B 1E7,24310000,0,0,0,0,0,321911,0,0,0,0
POI1219222,308877.9884,5048607.984,309,J4B 6G4,72310000,59990000,0,0,0,0,0,0,0,0,0
POI1219249,310083.973,5047332.98,309,J4B5H2,50130000,51720000,0,0,0,0,42112,42272,0,0,0
POI1220021,314740.5641,5047694.159,309,J4B 7W1,61410000,55110000,0,0,0,0,522291,44111,0,0,0
