ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
277,1000160,1,1,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,900,1,298114,5043374,106,4620173.00,300338,5040755,102,4620055.01,11.69,10.27,T,T,T,TC,1,3,3,TR,450,0,,1,,1,1,,1,
278,1000160,1,1,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,1600,5,300338,5040755,102,4620055.01,298707,5043275,106,4620158.00,11.69,10.27,,,,VELO,1,3,3,TR,450,0,,1,,1,1,,1,
279,1000160,1,1,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,1630,3,298707,5043275,106,4620158.00,298114,5043374,106,4620173.00,11.69,10.27,,,,VELO,1,3,3,TR,450,0,,1,,1,1,,1,
280,1000160,1,2,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,1700,5,298114,5043374,106,4620173.00,297540,5042575,106,4620170.00,11.69,10.27,,,T,VELO,1,3,3,RC,30,0,,1,,1,1,,1,
281,1000160,1,2,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,1715,6,297540,5042575,106,4620170.00,297873,5043172,106,4620172.00,11.69,10.27,,,,VELO,1,3,3,RC,30,0,,1,,1,1,,1,
282,1000160,1,2,106,298114,5043374,4,1,4620173.00,46,1,1,1,1,1730,3,297873,5043172,106,4620172.00,298114,5043374,106,4620173.00,11.69,10.27,,,,MARCHE,1,3,3,RC,30,0,,1,,1,1,,1,
283,1000160,2,1,106,298114,5043374,4,1,4620173.00,40,2,1,1,1,800,1,298114,5043374,106,4620173.00,298726,5048426,110,4620197.00,11.69,10.19,,T,T,AC,1,2,2,TR,540,0,,1,1,,1,,1,
284,1000160,2,1,106,298114,5043374,4,1,4620173.00,40,2,1,1,1,1700,3,298726,5048426,110,4620197.00,298114,5043374,106,4620173.00,11.69,10.19,,,,AC,1,2,2,TR,540,0,,1,1,,1,,1,
285,1000160,2,2,106,298114,5043374,4,1,4620173.00,40,2,1,1,1,1715,6,298114,5043374,106,4620173.00,297873,5043172,106,4620172.00,11.69,10.19,,,T,MARCHE,1,2,2,RC,15,0,,1,1,,1,,1,
286,1000160,2,2,106,298114,5043374,4,1,4620173.00,40,2,1,1,1,1730,3,297873,5043172,106,4620172.00,298114,5043374,106,4620173.00,11.69,10.19,,,,MARCHE,1,2,2,RC,15,0,,1,1,,1,,1,
287,1000160,3,1,106,298114,5043374,4,1,4620173.00,8,1,5,3,1,815,2,298114,5043374,106,4620173.00,297873,5043172,106,4620172.00,11.69,11.92,,T,T,MARCHE,2,4,3,ET,540,0,,1,,1,,1,1,
288,1000160,3,1,106,298114,5043374,4,1,4620173.00,8,1,5,3,1,1600,4,297873,5043172,106,4620172.00,297838,5043068,106,4620172.00,11.69,11.92,,,,MARCHE,2,4,3,ET,540,0,,1,,1,,1,1,
289,1000160,3,1,106,298114,5043374,4,1,4620173.00,8,1,5,3,1,1700,2,297838,5043068,106,4620172.00,297873,5043172,106,4620172.00,11.69,11.92,,,,MARCHE,2,4,3,ET,540,0,,1,,1,,1,1,
290,1000160,3,1,106,298114,5043374,4,1,4620173.00,8,1,5,3,1,1715,3,297873,5043172,106,4620172.00,298114,5043374,106,4620173.00,11.69,11.92,,,,MARCHE,2,4,3,ET,540,0,,1,,1,,1,1,
291,1000160,4,1,106,298114,5043374,4,1,4620173.00,6,2,5,3,1,815,2,298114,5043374,106,4620173.00,297873,5043172,106,4620172.00,11.69,10.83,,T,T,MARCHE,1,2,2,ET,555,0,,1,1,,1,,1,
292,1000160,4,1,106,298114,5043374,4,1,4620173.00,6,2,5,3,1,1730,3,297873,5043172,106,4620172.00,298114,5043374,106,4620173.00,11.69,10.83,,,,MARCHE,1,2,2,ET,555,0,,1,1,,1,,1,
362,1000228,1,,106,299045,5043225,2,1,4620147.00,77,2,1,2,2,0,7,0,0,0,,0,0,0,,16.96,14.51,T,T,,,,,,,,,,,,,,,,
363,1000228,2,,106,299045,5043225,2,1,4620147.00,80,1,1,4,2,0,7,0,0,0,,0,0,0,,16.96,15.5,,T,,,,,,,,,,,,,,,,
788,1000479,1,1,106,298847,5043886,2,1,4620156.00,70,1,1,2,1,1000,5,298847,5043886,106,4620156.00,291799,5043851,108,4620268.02,16.96,15.5,T,T,T,AC,1,3,3,MA,105,0,,1,,1,1,,,1
789,1000479,1,1,106,298847,5043886,2,1,4620156.00,70,1,1,2,1,1045,5,291799,5043851,108,4620268.02,292421,5043901,108,4620268.03,16.96,15.5,,,,AC,1,3,3,MA,105,0,,1,,1,1,,,1
790,1000479,1,1,106,298847,5043886,2,1,4620156.00,70,1,1,2,1,1145,3,292421,5043901,108,4620268.03,298847,5043886,106,4620156.00,16.96,15.5,,,,AC,1,3,3,MA,105,0,,1,,1,1,,,1
791,1000479,2,1,106,298847,5043886,2,1,4620156.00,69,2,2,4,1,1000,5,298847,5043886,106,4620156.00,291799,5043851,108,4620268.02,16.96,10.03,,T,T,AP,1,3,3,MA,105,0,,1,,1,1,,,1
792,1000479,2,1,106,298847,5043886,2,1,4620156.00,69,2,2,4,1,1045,5,291799,5043851,108,4620268.02,292421,5043901,108,4620268.03,16.96,10.03,,,,AP,1,3,3,MA,105,0,,1,,1,1,,,1
793,1000479,2,1,106,298847,5043886,2,1,4620156.00,69,2,2,4,1,1145,3,292421,5043901,108,4620268.03,298847,5043886,106,4620156.00,16.96,10.03,,,,AP,1,3,3,MA,105,0,,1,,1,1,,,1
1146,1000707,1,,106,298991,5041907,2,2,4620136.00,73,2,1,4,2,0,7,0,0,0,,0,0,0,,16.96,14.51,T,T,,,,,,,,,,,,,,,,
1147,1000707,2,1,106,298991,5041907,2,2,4620136.00,72,1,1,4,1,1200,6,298991,5041907,106,4620136.00,300157,5042896,102,4620046.00,16.96,15.5,,T,T,VELO,1,2,2,AT,30,0,,1,1,,1,,,1
