,Unnamed: 0,ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint,children,drivers,retired,walkscore,bikescore,transitscore,density,distance_meters,duration_seconds
0,0,184,1000109,1,1.0,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1000,5,294992,5051544,118,4620611.02,295977,5052119,118,4620610.01,16.02,13.41,T,T,T,MARCHE,1.0,2.0,2.0,MA,30.0,0.0,,1.0,1.0,,1.0,,,1.0,0,1,2,64.0,62.0,,15439.7,1262.9,1018.0
1,1,185,1000109,1,1.0,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1030,3,295977,5052119,118,4620610.01,294992,5051544,118,4620611.02,16.02,13.41,,,,MARCHE,1.0,2.0,2.0,MA,30.0,0.0,,1.0,1.0,,1.0,,,1.0,0,1,2,64.0,62.0,,15439.7,1262.9,1018.0
2,2,186,1000109,1,2.0,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1300,4,294992,5051544,118,4620611.02,293171,5050127,118,4620619.0,16.02,13.41,,,T,TC,1.0,2.0,2.0,LS,30.0,0.0,,1.0,1.0,,1.0,,,1.0,0,1,2,64.0,62.0,,15439.7,2814.4,2095.2
3,3,187,1000109,1,2.0,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1330,3,293171,5050127,118,4620619.0,294992,5051544,118,4620611.02,16.02,13.41,,,,TC,1.0,2.0,2.0,LS,30.0,0.0,,1.0,1.0,,1.0,,,1.0,0,1,2,64.0,62.0,,15439.7,2814.4,2095.2
4,4,188,1000109,2,,118,294992,5051544,2,1,4620611.02,63,1,1,4,2,0,7,0,0,0,,0,0,0,,16.02,15.48,,T,,,,,,,,,,,,,,,,,0,1,2,64.0,62.0,,15439.7,0.0,0.0
5,5,227,1000126,1,,118,295350,5054231,1,0,4620610.03,77,1,1,4,2,0,7,0,0,0,,0,0,0,,23.8,24.61,T,T,,,,,,,,,,,,,,,,,0,1,1,28.0,60.0,,8716.2,0.0,0.0
6,6,507,1000296,1,,118,294181,5049266,2,1,4620613.0,53,2,2,1,2,0,7,0,0,0,,0,0,0,,27.25,26.49,T,T,,,,,,,,,,,,,,,,,0,1,0,62.0,62.0,,9391.6,0.0,0.0
7,7,508,1000296,2,1.0,118,294181,5049266,2,1,4620613.0,48,1,1,1,1,2230,1,294181,5049266,118,4620613.0,294513,5049521,118,4620613.0,27.25,27.62,,T,T,AC,0.0,1.0,2.0,IND,0.0,0.0,1.0,,,,,,,,0,1,0,62.0,62.0,,9391.6,624.9,474.1
8,8,977,1000594,1,1.0,118,293503,5049918,2,1,4620615.0,64,2,1,4,1,1530,5,293503,5049918,118,4620615.0,293652,5049686,118,4620614.0,17.24,16.53,T,T,T,MARCHE,1.0,2.0,2.0,MA,5.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,1,51.0,71.0,,12815.2,283.6,208.4
9,9,978,1000594,1,1.0,118,293503,5049918,2,1,4620615.0,64,2,1,4,1,1535,3,293652,5049686,118,4620614.0,293503,5049918,118,4620615.0,17.24,16.53,,,,MARCHE,1.0,2.0,2.0,MA,5.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,1,51.0,71.0,,12815.2,283.6,208.4
10,10,979,1000594,2,1.0,118,293503,5049918,2,1,4620615.0,59,1,1,1,1,615,1,293503,5049918,118,4620615.0,287462,5040078,119,4620415.05,17.24,17.66,,T,T,AC,1.0,2.0,2.0,TR,615.0,0.0,,1.0,1.0,,1.0,,1.0,,0,2,1,51.0,71.0,,12815.2,13291.6,10536.1
11,11,980,1000594,2,1.0,118,293503,5049918,2,1,4620615.0,59,1,1,1,1,1630,3,287462,5040078,119,4620415.05,293503,5049918,118,4620615.0,17.24,17.66,,,,AC,1.0,2.0,2.0,TR,615.0,0.0,,1.0,1.0,,1.0,,1.0,,0,2,1,51.0,71.0,,12815.2,13291.6,10536.1
12,12,1482,1000951,1,,118,294610,5050031,1,1,4620612.0,66,2,1,4,2,0,7,0,0,0,,0,0,0,,23.8,19.77,T,T,,,,,,,,,,,,,,,,,0,1,1,56.0,53.0,,8763.8,0.0,0.0
13,13,1628,1001053,1,1.0,118,295054,5050871,2,1,4620611.01,70,2,1,4,1,1415,5,295054,5050871,118,4620611.01,294513,5049521,118,4620613.0,18.44,18.47,T,T,T,AP,1.0,2.0,2.0,MA,60.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,2,60.0,53.0,,8241.1,1876.8,1393.7
14,14,1629,1001053,1,1.0,118,295054,5050871,2,1,4620611.01,70,2,1,4,1,1515,3,294513,5049521,118,4620613.0,295054,5050871,118,4620611.01,18.44,18.47,,,,AP,1.0,2.0,2.0,MA,60.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,2,60.0,53.0,,8241.1,1876.8,1393.7
15,15,1630,1001053,2,1.0,118,295054,5050871,2,1,4620611.01,72,1,1,4,1,1415,5,295054,5050871,118,4620611.01,294513,5049521,118,4620613.0,18.44,19.06,,T,T,AC,1.0,2.0,2.0,MA,60.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,2,60.0,53.0,,8241.1,1876.8,1393.7
16,16,1631,1001053,2,1.0,118,295054,5050871,2,1,4620611.01,72,1,1,4,1,1515,3,294513,5049521,118,4620613.0,295054,5050871,118,4620611.01,18.44,19.06,,,,AC,1.0,2.0,2.0,MA,60.0,0.0,,1.0,1.0,,1.0,,,1.0,0,2,2,60.0,53.0,,8241.1,1876.8,1393.7
17,17,2878,1001758,1,,118,293409,5050601,2,1,4620619.0,38,2,1,7,2,0,7,0,0,0,,0,0,0,,24.33,29.0,T,T,,,,,,,,,,,,,,,,,0,2,0,48.0,71.0,,5813.6,0.0,0.0
18,18,2879,1001758,2,1.0,118,293409,5050601,2,1,4620619.0,44,1,1,1,1,700,6,293409,5050601,118,4620619.0,293409,5050601,118,4620619.0,24.33,23.68,,T,T,TX,0.0,1.0,2.0,IND,0.0,0.0,1.0,,,,,,,,0,2,0,48.0,71.0,,5813.6,0.0,0.0
19,19,3822,1002293,1,,118,296208,5052592,1,0,4620610.01,75,2,1,4,2,0,7,0,0,0,,0,0,0,,23.8,23.84,T,T,,,,,,,,,,,,,,,,,0,1,1,57.0,53.0,,22232.1,0.0,0.0
20,20,4084,1002430,1,1.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,745,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,24.03,T,T,T,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
21,21,4085,1002430,1,1.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,800,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,24.03,,,,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
22,22,4086,1002430,1,2.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1130,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,24.03,,,T,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
23,23,4087,1002430,1,2.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1135,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,24.03,,,,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
24,24,4088,1002430,1,3.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1230,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,24.03,,,T,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
25,25,4089,1002430,1,3.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1235,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,24.03,,,,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
26,26,4090,1002430,1,4.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1500,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,24.03,,,T,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
27,27,4091,1002430,1,4.0,118,294198,5050472,5,0,4620616.0,42,1,2,5,1,1515,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,24.03,,,,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
28,28,4092,1002430,2,1.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,745,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,29.43,,T,T,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
29,29,4093,1002430,2,1.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,800,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,29.43,,,,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
30,30,4094,1002430,2,2.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1130,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,29.43,,,T,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
31,31,4095,1002430,2,2.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1135,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,29.43,,,,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
32,32,4096,1002430,2,3.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1230,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,29.43,,,T,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
33,33,4097,1002430,2,3.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1235,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,29.43,,,,MARCHE,1.0,2.0,2.0,RC,5.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
34,34,4098,1002430,2,4.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1500,6,294198,5050472,118,4620616.0,294449,5050539,118,4620616.0,24.69,29.43,,,T,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
35,35,4099,1002430,2,4.0,118,294198,5050472,5,0,4620616.0,36,2,2,5,1,1515,3,294449,5050539,118,4620616.0,294198,5050472,118,4620616.0,24.69,29.43,,,,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,3,0,0,66.0,54.0,,6829.9,294.2,216.1
