,Unnamed: 0,ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint,children,drivers,retired,walkscore,bikescore,transitscore,density,distance_meters,duration_seconds
0,0,277,1000160,1,1.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,900,1,298114,5043374,106,4620173.0,300338,5040755,102,4620055.01,11.69,10.27,T,T,T,TC,1.0,3.0,3.0,TR,450.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,4076.6,3558.2
1,1,278,1000160,1,1.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,1600,5,300338,5040755,102,4620055.01,298707,5043275,106,4620158.0,11.69,10.27,,,,VELO,1.0,3.0,3.0,TR,450.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,3602.9,2985.9
2,2,279,1000160,1,1.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,1630,3,298707,5043275,106,4620158.0,298114,5043374,106,4620173.0,11.69,10.27,,,,VELO,1.0,3.0,3.0,TR,450.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,776.5,615.2
3,3,280,1000160,1,2.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,1700,5,298114,5043374,106,4620173.0,297540,5042575,106,4620170.0,11.69,10.27,,,T,VELO,1.0,3.0,3.0,RC,30.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,1194.0,1010.6
4,4,281,1000160,1,2.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,1715,6,297540,5042575,106,4620170.0,297873,5043172,106,4620172.0,11.69,10.27,,,,VELO,1.0,3.0,3.0,RC,30.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,933.7,730.9
5,5,282,1000160,1,2.0,106,298114,5043374,4,1,4620173.0,46,1,1,1,1,1730,3,297873,5043172,106,4620172.0,298114,5043374,106,4620173.0,11.69,10.27,,,,MARCHE,1.0,3.0,3.0,RC,30.0,0.0,,1.0,,1.0,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,426.5,337.2
6,6,283,1000160,2,1.0,106,298114,5043374,4,1,4620173.0,40,2,1,1,1,800,1,298114,5043374,106,4620173.0,298726,5048426,110,4620197.0,11.69,10.19,,T,T,AC,1.0,2.0,2.0,TR,540.0,0.0,,1.0,1.0,,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,6553.3,4858.4
7,7,284,1000160,2,1.0,106,298114,5043374,4,1,4620173.0,40,2,1,1,1,1700,3,298726,5048426,110,4620197.0,298114,5043374,106,4620173.0,11.69,10.19,,,,AC,1.0,2.0,2.0,TR,540.0,0.0,,1.0,1.0,,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,6553.3,4858.4
8,8,285,1000160,2,2.0,106,298114,5043374,4,1,4620173.0,40,2,1,1,1,1715,6,298114,5043374,106,4620173.0,297873,5043172,106,4620172.0,11.69,10.19,,,T,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,426.5,337.2
9,9,286,1000160,2,2.0,106,298114,5043374,4,1,4620173.0,40,2,1,1,1,1730,3,297873,5043172,106,4620172.0,298114,5043374,106,4620173.0,11.69,10.19,,,,MARCHE,1.0,2.0,2.0,RC,15.0,0.0,,1.0,1.0,,1.0,,1.0,,2,2,0,90.0,100.0,,8472.0,426.5,337.2
10,10,287,1000160,3,1.0,106,298114,5043374,4,1,4620173.0,8,1,5,3,1,815,2,298114,5043374,106,4620173.0,297873,5043172,106,4620172.0,11.69,11.92,,T,T,MARCHE,2.0,4.0,3.0,ET,540.0,0.0,,1.0,,1.0,,1.0,1.0,,2,2,0,90.0,100.0,,8472.0,426.5,337.2
11,11,288,1000160,3,1.0,106,298114,5043374,4,1,4620173.0,8,1,5,3,1,1600,4,297873,5043172,106,4620172.0,297838,5043068,106,4620172.0,11.69,11.92,,,,MARCHE,2.0,4.0,3.0,ET,540.0,0.0,,1.0,,1.0,,1.0,1.0,,2,2,0,90.0,100.0,,8472.0,127.7,90.1
12,12,289,1000160,3,1.0,106,298114,5043374,4,1,4620173.0,8,1,5,3,1,1700,2,297838,5043068,106,4620172.0,297873,5043172,106,4620172.0,11.69,11.92,,,,MARCHE,2.0,4.0,3.0,ET,540.0,0.0,,1.0,,1.0,,1.0,1.0,,2,2,0,90.0,100.0,,8472.0,127.7,90.1
13,13,290,1000160,3,1.0,106,298114,5043374,4,1,4620173.0,8,1,5,3,1,1715,3,297873,5043172,106,4620172.0,298114,5043374,106,4620173.0,11.69,11.92,,,,MARCHE,2.0,4.0,3.0,ET,540.0,0.0,,1.0,,1.0,,1.0,1.0,,2,2,0,90.0,100.0,,8472.0,426.5,337.2
