cor_id	cor_weight	cor_coordinates
0	4508.350000000001	LINESTRING(298800.14946372004 5042012.947046915, 298775.33017161745 5042107.999737763)
1	4321.97	LINESTRING(298557.686491102 5043337.531636276, 298536.3186347673 5043433.49134413)
2	4317.41	LINESTRING(298625.8697359979 5042948.054592141, 298655.4200544518 5042854.341937833)
3	3848.619999999998	LINESTRING(298671.6817150749 5042780.209309827, 298581.69464143296 5042819.710343124)
4	3645.4700000000003	LINESTRING(297570.24833776755 5043216.365782294, 297480.43028474017 5043256.167104236)
5	3581.52	LINESTRING(299197.4262680241 5040906.181617468, 299222.41259166517 5040811.3598690145)
6	3511.5499999999993	LINESTRING(297642.7763240939 5043214.24139076, 297733.5026715503 5043175.945273597)
7	3406.7299999999987	LINESTRING(298841.76948893635 5042715.392784614, 298932.48600227415 5042677.239898856)
8	3363.8800000000006	LINESTRING(298649.6198654 5043684.479407951, 298670.30664931406 5043588.453149084)
9	3287.77	LINESTRING(298079.19021034444 5042823.038821097, 298132.53694708954 5042905.607005115)
10	3224.5699999999997	LINESTRING(298838.81151270145 5042177.615664066, 298819.28392473684 5042273.995319256)
11	3190.880000000001	LINESTRING(298697.2877235186 5042067.321508424, 298686.7465622805 5041969.641195172)
12	3128.9299999999985	LINESTRING(298982.24699215736 5040830.219900574, 298977.78210122715 5040928.6163526485)
13	3117.0600000000004	LINESTRING(298872.3383575515 5042331.281258029, 298901.534747552 5042237.528511405)
14	3063.64	LINESTRING(298733.19539456384 5043698.479514741, 298678.47122554394 5043616.888854793)
15	3047.47	LINESTRING(298892.6239284572 5041889.603070494, 298868.9398120406 5041984.78914928)
16	3034.2200000000003	LINESTRING(298934.512864734 5042074.560999863, 298958.4811902953 5041979.565227142)
17	3011.5699999999997	LINESTRING(298764.031596429 5042419.4676895095, 298736.44711762224 5042513.776120057)
18	2881.43	LINESTRING(298983.9939839726 5041468.574022663, 298964.1694541409 5041564.82259118)
19	2876.22	LINESTRING(298981.392249762 5042234.794271554, 299010.5502114434 5042141.035213843)
20	2838.78	LINESTRING(299028.97201161174 5041585.9450814575, 299047.7775747655 5041489.743203036)
21	2833.6100000000006	LINESTRING(298618.51105072576 5043707.714198223, 298671.66005693143 5043790.495109075)
22	2813.9	LINESTRING(299047.0201453033 5041081.642326686, 299030.15912354866 5041178.367368788)
23	2802.6099999999997	LINESTRING(299044.86515441723 5041919.466631845, 299073.6368667254 5041825.650516256)
24	2787.8599999999997	LINESTRING(298823.8524287961 5042646.289212465, 298843.48048971454 5042550.076655315)
25	2784.84	LINESTRING(298795.9273895913 5042669.9043706665, 298785.29430133814 5042767.86777157)
26	2778.6400000000003	LINESTRING(299037.65284242533 5041489.202371717, 299056.33587741095 5041393.017044392)
27	2777.1	LINESTRING(299051.82243644434 5041309.649105694, 299070.28722195374 5041213.451635245)
28	2745.4300000000003	LINESTRING(299001.963193633 5041264.157448776, 298985.3115410668 5041360.883642771)
29	2701.0	LINESTRING(298904.4691926273 5042342.86076518, 298887.3717867091 5042439.951508155)
30	2662.7699999999995	LINESTRING(298909.98095370154 5041796.753985143, 298888.17455628526 5041892.530221887)
31	2653.8100000000004	LINESTRING(299039.5975872762 5041169.100374654, 299014.5473131149 5041263.96953024)
