cor_id	cor_weight	cor_coordinates
0	2749.9000000000005	LINESTRING(307215.96894388035 5044768.396903529, 307134.15583745344 5044714.005108132)
1	2744.9099999999985	LINESTRING(305964.4956050991 5043705.118196343, 305880.7833392231 5043654.09319403)
2	2419.8900000000003	LINESTRING(306346.80458719865 5043809.900429742, 306262.02421764116 5043760.785954793)
3	2388.1399999999994	LINESTRING(305142.6557332531 5043499.317424318, 305058.633846162 5043448.898096332)
4	2350.11	LINESTRING(306746.15928016446 5044547.100721036, 306665.3016242638 5044491.264631773)
5	2330.55	LINESTRING(306540.50005379494 5044193.773367016, 306624.4511102625 5044244.5205599)
6	2287.0699999999997	LINESTRING(306042.7153725949 5043747.717578102, 305958.08968192973 5043698.105077013)
7	2270.2799999999997	LINESTRING(305667.71558699454 5043654.6739377035, 305583.7614718339 5043604.1433716295)
8	2259.7099999999996	LINESTRING(305446.36140909174 5043607.784924804, 305362.4159712144 5043557.275071424)
9	2232.34	LINESTRING(306645.5947365569 5044460.2878647465, 306564.59902469185 5044404.811985755)
10	2185.4300000000003	LINESTRING(305846.1011672481 5043620.523789399, 305930.9911144659 5043669.88188238)
11	2141.2400000000007	LINESTRING(304963.6579606802 5043653.420335328, 304882.4884939655 5043598.026619324)
12	2119.210000000001	LINESTRING(306902.81222159695 5045730.475807313, 306981.71602649434 5045789.1770112775)
13	2107.9800000000005	LINESTRING(306760.9591425207 5044634.423730828, 306680.6048913105 5044577.825034372)
14	2056.23	LINESTRING(305606.6751358387 5043575.998894327, 305521.58823757584 5043527.2414956745)
15	2055.4799999999996	LINESTRING(305655.87402206846 5043882.047542333, 305572.25641697383 5043830.9521057615)
16	2033.7400000000005	LINESTRING(306063.162625823 5044402.702957044, 305981.9539061546 5044347.646695989)
17	2019.0	LINESTRING(306298.94228992943 5043987.183369541, 306383.38113642344 5044037.154528336)
18	2000.4399999999998	LINESTRING(303934.8850606692 5042886.286187709, 303850.2119888464 5042836.941985224)
